工作岗位,公司名称,公司规模,公司行业,融资阶段,公司福利,工资阶段,工作经验,学历要求,工作地点
数据分析师-直播方向,小红书,500-2000人,消费生活,D轮及以上,"年度旅游,节日礼物,专项奖金,带薪年假",25k-40k,3-5年,本科,北京
大数据开发工程师,微脉,150-500人,"移动互联网,医疗丨健康",B轮,"股票期权,带薪年假,岗位晋升,年底三薪",25k-45k,5-10年,本科,杭州
大数据开发工程师,问卷网@爱调研,150-500人,移动互联网,C轮,"技能培训,节日礼物,年底双薪,绩效奖金",15k-20k,1-3年,本科,上海
大数据开发工程师,新萌网络,150-500人,社交,不需要融资,"弹性工作,免费班车,年底双薪,带薪年假",20k-30k,3-5年,本科,上海
高级/资深数据分析师,腾讯,2000人以上,社交,上市公司,"免费班车,成长空间,年度旅游,岗位晋升",20k-40k,3-5年,本科,深圳
腾讯音乐数据分析师,腾讯,2000人以上,社交,上市公司,"免费班车,成长空间,年度旅游,岗位晋升",25k-50k,3-5年,本科,深圳
数据分析师,数美,150-500人,"企业服务,数据服务",C轮,"年底双薪,大数据,带薪年假,通讯津贴",10k-20k,不限,本科,北京
大数据开发工程师,莉莉丝游戏,500-2000人,"移动互联网,游戏",不需要融资,"项目奖金,零食无限量,牛逼的同事,境外旅游",12k-24k,3-5年,本科,上海
商业数据分析师（阿里数据银行）,爱赞网络,50-150人,"移动互联网,广告营销",天使轮,"节日礼物,带薪年假,绩效奖金,五险一金",10k-20k,1-3年,本科,杭州
高级数据分析师(J12284),安居客,500-2000人,移动互联网,上市公司,"年底双薪,绩效奖金,带薪年假,五险一金",20k-30k,3-5年,本科,北京
大数据开发工程师,自如网,2000人以上,房产家居,A轮,"丰厚年薪,六险一金,健康体检,带薪年假",20k-40k,3-5年,本科,北京
高级数据分析师,雅乐科技,50-150人,"移动互联网,电商",B轮,"定期体检,带薪年假,绩效奖金,股票期权",18k-30k,3-5年,本科,杭州
数据分析师,新浪网,2000人以上,文娱丨内容,上市公司,"免费班车,岗位晋升,五险一金,定期体检",15k-30k,1-3年,本科,北京
大数据开发工程师,趣头条,500-2000人,文娱丨内容,上市公司,"专项奖金,带薪年假,弹性工作,管理规范",30k-45k,5-10年,本科,北京
数据分析师,有车以后,150-500人,移动互联网,C轮,"股票期权,带薪年假,弹性工作,五险一金",12k-18k,3-5年,本科,广州
大数据开发工程师,拉勾猎头,500-2000人,"移动互联网,企业服务",D轮及以上,"一手内推信息,猎头专业服务,名企保面试,精准高效对接",20k-35k,3-5年,本科,杭州
数据分析专家,睿琪软件,150-500人,数据服务,不需要融资,"专业红娘牵线,节日礼物,技能培训,岗位晋升",20k-30k,5-10年,本科,杭州
数据分析师&amp;专家,GoFun,500-2000人,移动互联网,B轮,"绩效奖金,午餐补助,带薪年假",15k-25k,3-5年,本科,北京
资深数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",15k-25k,3-5年,本科,北京
数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",15k-25k,1-3年,本科,北京
BI数据分析师,盈余科技,50-150人,"企业服务,数据服务",未融资,"年度旅游,领导好,扁平管理,技能培训",6k-12k,1-3年,本科,江门
数据分析,海万科技,500-2000人,"移动互联网,金融",不需要融资,,10k-15k,1-3年,本科,上海
00037-资深数据分析师/数据分析专家,云集,500-2000人,"电商,移动互联网",上市公司,"绩效奖金,股票期权,五险一金,午餐补助",20k-40k,5-10年,本科,杭州
数据分析师,点煷科技,50-150人,"移动互联网,消费生活",上市公司,"技能培训,带薪年假,岗位晋升,定期体检",8k-15k,3-5年,本科,广州
数据分析,慧择信息集团,500-2000人,"移动互联网,企业服务",不需要融资,"年底双薪,股票期权,绩效奖金,专项奖金",8k-15k,1-3年,本科,深圳
数据分析,广东联通通信建设有限公司,150-500人,其他,上市公司,"技能培训,年底双薪,带薪年假,绩效奖金",5k-8k,不限,不限,韶关
数据分析,美篇,50-150人,"移动互联网,社交",B轮,"弹性工作,期权激励,六险一金,租房补贴",20k-35k,3-5年,本科,北京
00037-资深数据分析师/数据分析专家,云集,500-2000人,"电商,移动互联网",上市公司,"绩效奖金,股票期权,五险一金,午餐补助",20k-40k,5-10年,本科,杭州
数据分析师,点煷科技,50-150人,"移动互联网,消费生活",上市公司,"技能培训,带薪年假,岗位晋升,定期体检",8k-15k,3-5年,本科,广州
