downloadCount,displayName,gameId,gameType,introduction,publisherName,developer_name,shortDesc,current,change,score,cnt,bcnt,gameTag
16521102,登山赛车,62234250,1,越野赛车翻山越岭 虐心游戏超中毒,北京唯我乐园信息技术有限公司,登山车队,越野赛车翻山越岭 虐心游戏超中毒,56,1,7.3,317,337,"驾驶模拟,闯关,物理,赛车,横版,魔性,2D,卡通,模拟经营"
19133589,汤姆猫的摩托艇,62247926,1,和会说话的汤姆猫一起参加摩托艇比赛,广州金科文化科技有限公司,金科文化,和会说话的汤姆猫一起参加摩托艇比赛,57,4,8.4,420,461,"快艇,跑酷,躲避,闯关,竖屏,2.5D,萌系"
59949657,弓箭手大作战,62230003,1,超爽多人射击，人气爆棚,北京猎豹网络科技有限公司,,超爽多人射击，人气爆棚,58,2,7.8,1917,2040,"io,俯视角,PVP,2.5D,像素,电子竞技"
4927791,同桌大作战,62275733,1,双人玩吧实时对抗,武汉市多比特信息科技有限公司,多比特,双人玩吧实时对抗,59,0,7.9,281,295,"反应,双人,手速,2D,卡通,校园,休闲益智"
417758,末日进化,62286754,1,生化丧尸入侵携手活到下一个黎明,深圳阿米法尔科技有限公司,阿米法尔互娱,生化丧尸入侵携手活到下一个黎明,60,-14,8.5,120,139,"SLG,PVP,2.5D,写实,僵尸,末日,战争策略"
35788812,逃跑吧！少年-新道具登场,62249468,1,享受轻松诙谐的对抗乐趣,深圳市抱一网络科技有限公司,抱一网络,享受轻松诙谐的对抗乐趣,21,-2,8.7,11728,13814,"非对称竞技,躲避,PVP,魔性,2.5D,卡通,电子竞技"
185023247,穿越火线-枪战王者,62230309,1,120人空降 一人胜出,深圳市腾讯计算机系统有限公司,腾讯移动游戏,120人空降 一人胜出,22,0,8.5,15173,16960,"竞技,第一人称射击,PVP,3D,写实,警匪,电子竞技"
2235625,攻城掠地,62265893,1,三国，玩的就是国战,锐战科技（上海）有限公司,上海锐战,三国，玩的就是国战,23,4,6.4,214,265,"SLG,PVP,2D,写实,三国,战争,战争策略"
46336690,神庙逃亡2-开学有礼,62231942,1,开学大作战，专属宝物等你来拿！,深圳市创梦天地科技有限公司,,开学大作战，专属宝物等你来拿！,24,5,7.1,1293,1392,"跑酷,躲避,重力/陀螺仪,竖屏,2.5D,写实,动作冒险"
7618541,满贯捕鱼,62234366,1,万炮齐发，超级捕鱼,重庆迅游科技有限公司,,万炮齐发，超级捕鱼,25,-1,8.3,139,155,"捕鱼,2D,卡通,街机,休闲益智"
87348034,地铁跑酷,62231634,1,春季去踏青，漫步休斯顿！,深圳市创梦天地科技有限公司,,春季去踏青，漫步休斯顿！,26,4,7.7,2916,3106,"跑酷,闯关,躲避,竖屏,2.5D,卡通,动作冒险"
